id,name,short,state_id,op_id,status_id
195,Kabupaten Magelang,3308,13,1,1
196,Kabupaten Boyolali,3309,13,1,1
197,Kabupaten Klaten,3310,13,1,1
198,Kabupaten Sukoharjo,3311,13,1,1
199,Kabupaten Wonogiri,3312,13,1,1
200,Kabupaten Karanganyar,3313,13,1,1
201,Kabupaten Sragen,3314,13,1,1
202,Kabupaten Grobogan,3315,13,1,1
203,Kabupaten Blora,3316,13,1,1
204,Kabupaten Rembang,3317,13,1,1
205,Kabupaten Pati,3318,13,1,1
206,Kabupaten Kudus,3319,13,1,1
207,Kabupaten Jepara,3320,13,1,1
208,Kabupaten Demak,3321,13,1,1
209,Kabupaten Semarang,3322,13,1,1
210,Kabupaten Temanggung,3323,13,1,1
211,Kabupaten Kendal,3324,13,1,1
212,Kabupaten Batang,3325,13,1,1
213,Kabupaten Pekalongan,3326,13,1,1
214,Kabupaten Pemalang,3327,13,1,1
215,Kabupaten Tegal,3328,13,1,1
216,Kabupaten Brebes,3329,13,1,1
217,Kota Magelang,3371,13,1,1
218,Kota Surakarta,3372,13,1,1
219,Kota Salatiga,3373,13,1,1
220,Kota Semarang,3374,13,1,1
221,Kota Pekalongan,3375,13,1,1
222,Kota Tegal,3376,13,1,1
223,Kabupaten Kulon Progo,3401,14,1,1
224,Kabupaten Bantul,3402,14,1,1
225,Kabupaten Gunung Kidul,3403,14,1,1
226,Kabupaten Sleman,3404,14,1,1
227,Kota Yogyakarta,3471,14,1,1
228,Kabupaten Pacitan,3501,15,1,1
229,Kabupaten Ponorogo,3502,15,1,1
230,Kabupaten Trenggalek,3503,15,1,1
231,Kabupaten Tulungagung,3504,15,1,1
232,Kabupaten Blitar,3505,15,1,1
233,Kabupaten Kediri,3506,15,1,1
234,Kabupaten Malang,3507,15,1,1
235,Kabupaten Lumajang,3508,15,1,1
236,Kabupaten Jember,3509,15,1,1
237,Kabupaten Banyuwangi,3510,15,1,1
238,Kabupaten Bondowoso,3511,15,1,1
239,Kabupaten Situbondo,3512,15,1,1
240,Kabupaten Probolinggo,3513,15,1,1
241,Kabupaten Pasuruan,3514,15,1,1
242,Kabupaten Sidoarjo,3515,15,1,1
243,Kabupaten Mojokerto,3516,15,1,1
244,Kabupaten Jombang,3517,15,1,1
245,Kabupaten Nganjuk,3518,15,1,1
